Name,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,date_num,date
ID20230117235328391000,1,5,0.00868055555569,26.6779994965,29.1350002289,2.45700073242,28.0271999359,0.937677914504,140.13599968,20140703,2014-07-03
ID20230117235328391000,1,5,0.00868055555569,25.531999588,27.8759994507,2.34399986267,26.8747997284,0.859910605537,134.373998642,20140704,2014-07-04
ID20230117235328391000,1,5,0.00868055555569,25.3439998627,27.857000351,2.51300048828,26.809400177,0.885304407181,134.047000885,20140705,2014-07-05
ID20230117235328391000,1,5,0.00868055555569,25.1210002899,27.077999115,1.95699882507,26.231199646,0.717489068727,131.15599823,20140706,2014-07-06
ID20230117235328391000,1,5,0.00868055555569,27.232000351,29.4340000153,2.20199966431,28.458600235,0.822497970723,142.293001175,20140707,2014-07-07
ID20230117235328391000,1,5,0.00868055555569,26.7609996796,28.7290000916,1.96800041199,27.8329998016,0.774999259214,139.164999008,20140708,2014-07-08
ID20230117235328391000,1,5,0.00868055555569,27.545999527,29.7719993591,2.22599983215,28.7759998322,0.802675835833,143.879999161,20140709,2014-07-09
ID20230117235328391000,1,5,0.00868055555569,22.6319999695,24.2339992523,1.60199928284,23.6173995972,0.55933455595,118.086997986,20140710,2014-07-10
ID20230117235328391000,1,5,0.00868055555569,25.3780002594,27.4689998627,2.09099960327,26.6060001373,0.776564897043,133.030000687,20140711,2014-07-11
ID20230117235328391000,1,5,0.00868055555569,26.5669994354,28.9780006409,2.41100120544,27.9263999939,0.888061850899,139.631999969,20140712,2014-07-12
ID20230117235328391000,1,5,0.00868055555569,26.7000007629,29.1959991455,2.49599838257,28.0690002441,0.927158156292,140.345001221,20140713,2014-07-13
ID20230117235328391000,1,5,0.00868055555569,28.0499992371,30.3250007629,2.27500152588,29.2800003052,0.860471379728,146.400001526,20140714,2014-07-14
ID20230117235328391000,1,5,0.00868055555569,28.2399997711,30.6979999542,2.45800018311,29.6062000275,0.895564767803,148.031000137,20140715,2014-07-15
